ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-01,8013.520374891277,5911.306369012212,9061.486201528394,8013.520374891277,8013.520374891277,-498.3937100604715,-498.3937100604715,-498.3937100604715,-498.3937100604715,-498.3937100604715,-498.3937100604715,0.0,0.0,0.0,7515.126664830806
2019-11-01,8106.899344636957,5868.403042847635,9210.307304231981,8106.899344636957,8106.899344636957,-521.9545458300447,-521.9545458300447,-521.9545458300447,-521.9545458300447,-521.9545458300447,-521.9545458300447,0.0,0.0,0.0,7584.944798806912
2019-12-01,8197.266089552133,6507.380847220932,9542.512127488939,8197.266089552133,8197.266089552133,-244.94153319336536,-244.94153319336536,-244.94153319336536,-244.94153319336536,-244.94153319336536,-244.94153319336536,0.0,0.0,0.0,7952.324556358768
2020-01-01,8290.645059297813,6853.733907162027,10234.498633013462,8290.645059297813,8290.645059297813,230.19407263210917,230.19407263210917,230.19407263210917,230.19407263210917,230.19407263210917,230.19407263210917,0.0,0.0,0.0,8520.839131929923
2020-02-01,8384.024028547143,7211.860444761297,10321.000014494462,8384.024028547143,8384.024028547143,391.050084632789,391.050084632789,391.050084632789,391.050084632789,391.050084632789,391.050084632789,0.0,0.0,0.0,8775.074113179931
2020-03-01,8471.378548167486,7295.106904120633,10478.179613290824,8471.378548167486,8471.378548167486,373.11110211633587,373.11110211633587,373.11110211633587,373.11110211633587,373.11110211633587,373.11110211633587,0.0,0.0,0.0,8844.489650283822
2020-04-01,8564.757517416816,7796.787849238429,10988.892678806185,8564.757517416816,8564.757517416816,896.4646677096514,896.4646677096514,896.4646677096514,896.4646677096514,896.4646677096514,896.4646677096514,0.0,0.0,0.0,9461.222185126468
2020-05-01,8655.124261851654,7944.379471675815,11160.457706560966,8655.124261851654,8655.124261851654,881.7419971833635,881.7419971833635,881.7419971833635,881.7419971833635,881.7419971833635,881.7419971833635,0.0,0.0,0.0,9536.866259035018
2020-06-01,8748.503233901676,6067.430297573959,9375.143042622722,8748.503233901676,8748.503233901676,-1099.8387103239777,-1099.8387103239777,-1099.8387103239777,-1099.8387103239777,-1099.8387103239777,-1099.8387103239777,0.0,0.0,0.0,7648.664523577699
2020-07-01,8838.869981046862,6301.139889962609,9577.103391214137,8838.869981046862,8838.869981046862,-906.3852287949505,-906.3852287949505,-906.3852287949505,-906.3852287949505,-906.3852287949505,-906.3852287949505,0.0,0.0,0.0,7932.484752251912
2020-08-01,8932.248953096889,6583.361148471609,9844.749859045245,8932.248953096889,8932.248953096889,-628.1631477058061,-628.1631477058061,-628.1631477058061,-628.1631477058061,-628.1631477058061,-628.1631477058061,0.0,0.0,0.0,8304.085805391083
2020-09-01,9025.627932743688,6981.866575560644,10216.083021172715,9025.627932743688,9025.627932743688,-374.11238452179714,-374.11238452179714,-374.11238452179714,-374.11238452179714,-374.11238452179714,-374.11238452179714,0.0,0.0,0.0,8651.51554822189
2020-10-01,9115.994687240593,7291.599448513361,10548.843890940489,9115.994687240593,9115.994687240593,-215.67423160744983,-215.67423160744983,-215.67423160744983,-215.67423160744983,-215.67423160744983,-215.67423160744983,0.0,0.0,0.0,8900.320455633142
2020-11-01,9209.373666887395,7468.490737149929,10657.775974776918,9209.373666887395,9209.373666887395,-219.7776825996529,-219.7776825996529,-219.7776825996529,-219.7776825996529,-219.7776825996529,-219.7776825996529,0.0,0.0,0.0,8989.595984287742
2020-12-01,9299.740421384296,7668.309858780617,10903.005008433182,9299.740421384296,9299.740421384296,-23.606544387428894,-23.606544387428894,-23.606544387428894,-23.606544387428894,-23.606544387428894,-23.606544387428894,0.0,0.0,0.0,9276.133876996868
2021-01-01,9420.486822638575,7635.9704355098365,10854.249908023256,9420.486822638575,9420.486822638575,-117.50296513337702,-117.50296513337702,-117.50296513337702,-117.50296513337702,-117.50296513337702,-117.50296513337702,0.0,0.0,0.0,9302.983857505198
2021-02-01,9541.233223892854,7326.607911846839,10515.111538472462,9541.233223892854,9541.233223892854,-597.3694226929604,-597.3694226929604,-597.3694226929604,-597.3694226929604,-597.3694226929604,-597.3694226929604,0.0,0.0,0.0,8943.863801199894
2021-03-01,9650.294489541879,8243.851853265105,11572.888489984112,9650.294489541879,9650.294489541879,245.97621538130534,245.97621538130534,245.97621538130534,245.97621538130534,245.97621538130534,245.97621538130534,0.0,0.0,0.0,9896.270704923183
2021-04-01,9811.414347543821,8892.326987522452,12092.696165465492,9811.414347543821,9811.414347543821,653.8862874660446,653.8862874660446,653.8862874660446,653.8862874660446,653.8862874660446,653.8862874660446,0.0,0.0,0.0,10465.300635009866
2021-05-01,9967.336790771506,9133.33353238356,12323.142913319598,9967.336790771506,9967.336790771506,753.119712374343,753.119712374343,753.119712374343,753.119712374343,753.119712374343,753.119712374343,0.0,0.0,0.0,10720.456503145848
2021-06-01,10128.456648773448,7505.729222866298,10685.782052831686,10128.456648773448,10128.456648773448,-981.0754057571971,-981.0754057571971,-981.0754057571971,-981.0754057571971,-981.0754057571971,-981.0754057571971,0.0,0.0,0.0,9147.38124301625
2021-07-01,10284.379092001134,7981.9742722310475,11223.89269516881,10284.379092001134,10284.379092001134,-706.2575292202533,-706.2575292202533,-706.2575292202533,-706.2575292202533,-706.2575292202533,-706.2575292202533,0.0,0.0,0.0,9578.121562780882
2021-08-01,10477.571939909618,8309.010225979828,11477.81469017321,10477.571939909618,10477.571939909618,-535.930190840151,-535.930190840151,-535.930190840151,-535.930190840151,-535.930190840151,-535.930190840151,0.0,0.0,0.0,9941.641749069468
2021-09-01,10670.764787818101,8568.290064610224,11869.98149244225,10670.764787818101,10670.764787818101,-462.3989669653056,-462.3989669653056,-462.3989669653056,-462.3989669653056,-462.3989669653056,-462.3989669653056,0.0,0.0,0.0,10208.365820852796
2021-10-01,10857.7256083747,8973.025905103676,12182.791527322355,10857.7256083747,10857.7256083747,-308.9618786710982,-308.9618786710982,-308.9618786710982,-308.9618786710982,-308.9618786710982,-308.9618786710982,0.0,0.0,0.0,10548.763729703602
2021-11-01,11074.837613696265,9177.698849444136,12433.297719922766,11074.837613696265,11074.837613696265,-322.15919549672424,-322.15919549672424,-322.15919549672424,-322.15919549672424,-322.15919549672424,-322.15919549672424,0.0,0.0,0.0,10752.67841819954
2021-12-01,11284.946005942944,9611.64257614426,12713.657899173228,11284.946005942944,11284.946005942944,-102.87851233149965,-102.87851233149965,-102.87851233149965,-102.87851233149965,-102.87851233149965,-102.87851233149965,0.0,0.0,0.0,11182.067493611445
2022-01-01,11502.058011264511,9967.251996110619,13057.44432571999,11502.058011264511,11502.058011264511,-7.663085567442787,-7.663085567442787,-7.663085567442787,-7.663085567442787,-7.663085567442787,-7.663085567442787,0.0,0.0,0.0,11494.394925697068
2022-02-01,11719.170016586078,9899.256016931282,13067.82877105113,11719.170016586078,11719.170016586078,-265.1310886014754,-265.1310886014754,-265.1310886014754,-265.1310886014754,-265.1310886014754,-265.1310886014754,0.0,0.0,0.0,11454.038927984602
